case,0,1,2,3,4,5,6,7
2,9.0,,,,,,,
3,5.26,0.0,4.27,0.0,1.54,2.69,,
4,0.24,,,,,,,
5,6.61,,,,,,,
6,6.61,,,,,,,
8,-18.47,-16.0,-4.51,-12.84,-9.79,-14.67,,
9,-1.7,4.26,,,,,,
10,0.89,0.0,0.0,1.22,0.0,2.88,,
11,4.95,0.4,14.13,9.86,5.84,,,
12,0.92,,,,,,,
13,0.0,,,,,,,
14,-5.68,-67.32,1.96,-5.74,9.25,2.17,-18.2,-2.39
15,0.0,,,,,,,
16,0.59,,,,,,,
17,0.0,0.0,0.2,0.0,0.61,0.0,,
18,0.0,1.13,4.66,16.95,,,,
