case,0,1,2,3,4,5,6,7
2,0.0,,,,,,,
3,0.0,0.0,0.0,0.0,0.0,0.0,,
4,-3.92,,,,,,,
5,0.0,,,,,,,
6,0.0,,,,,,,
8,-19.01,-16.0,-4.88,-14.13,-11.12,-16.38,,
9,-1.7,0.0,,,,,,
10,0.0,0.0,0.0,0.0,0.0,0.0,,
11,0.0,0.0,0.0,0.0,0.0,,,
12,0.0,,,,,,,
13,0.0,,,,,,,
14,-5.68,-67.41,-9.17,-9.17,-5.68,0.0,-21.84,-9.57
15,0.0,,,,,,,
16,-1.16,,,,,,,
17,0.0,0.0,0.0,0.0,0.0,0.0,,
18,0.0,0.0,0.0,-0.69,,,,
